Country,Strategy,Eq,Bo,Withdrawal,Rebalance,TrailAver,TrailMax,TrailMin,WDAver,WDMax,WDMin,SuccessRate, 
Germany.JPG,1,55,30,3.00,11,4.60,18.59,0.00,118,120,0,1.00,
Germany.JPG,1,55,30,3.50,11,3.22,18.54,0.00,134,140,0,0.99,
Germany.JPG,1,55,30,4.00,11,2.12,16.73,0.00,148,160,0,0.94,
Germany.JPG,1,55,30,4.50,11,1.23,14.85,0.00,156,180,0,0.76,
Germany.JPG,1,55,30,5.00,11,0.57,10.30,0.00,159,200,0,0.48,
Germany.JPG,1,55,30,5.50,11,0.20,7.60,0.00,156,220,0,0.22,
Germany.JPG,1,55,30,6.00,11,0.08,7.03,0.00,151,240,0,0.08,
Germany.JPG,1,55,30,6.50,11,0.02,4.95,0.00,145,260,0,0.02,
Germany.JPG,1,55,30,7.00,11,0.01,4.09,0.00,141,280,0,0.01,
Germany.JPG,1,55,30,7.50,11,0.00,4.17,0.00,137,300,0,0.00,
Germany.JPG,1,55,30,8.00,11,0.00,0.74,0.00,134,320,0,0.00,
Germany.JPG,1,55,30,8.50,11,0.00,0.32,0.00,132,340,0,0.00,
Germany.JPG,1,55,30,9.00,11,0.00,0.00,0.00,130,360,0,0.00,
Germany.JPG,1,55,30,9.50,11,0.00,0.00,0.00,128,380,0,0.00,
Ireland.JPG,1,55,30,0.00,11,15.61,39.99,6.52,0,0,0,1.00,
Ireland.JPG,1,55,30,0.50,11,13.90,40.38,5.69,20,20,20,1.00,
Ireland.JPG,1,55,30,1.00,11,12.28,33.74,4.29,40,40,40,1.00,
Ireland.JPG,1,55,30,1.50,11,10.68,29.36,3.33,60,60,60,1.00,
Ireland.JPG,1,55,30,2.00,11,9.15,28.51,2.24,80,80,80,1.00,
Ireland.JPG,1,55,30,2.50,11,7.47,27.05,1.38,100,100,50,1.00,
Ireland.JPG,1,55,30,3.00,11,6.00,19.87,0.50,120,120,60,1.00,
Ireland.JPG,1,55,30,3.50,11,4.32,19.00,0.00,139,140,0,1.00,
Ireland.JPG,1,55,30,4.00,11,2.88,22.11,0.00,157,160,0,0.98,
Ireland.JPG,1,55,30,4.50,11,1.65,15.95,0.00,168,180,0,0.85,
Ireland.JPG,1,55,30,5.00,11,0.77,11.15,0.00,172,200,0,0.57,
Ireland.JPG,1,55,30,5.50,11,0.33,11.97,0.00,169,220,0,0.29,
Ireland.JPG,1,55,30,6.00,11,0.12,15.46,0.00,162,240,0,0.11,
Ireland.JPG,1,55,30,6.50,11,0.04,7.35,0.00,156,260,0,0.04,
Ireland.JPG,1,55,30,7.00,11,0.02,6.12,0.00,150,280,0,0.01,
Ireland.JPG,1,55,30,7.50,11,0.00,3.00,0.00,145,300,0,0.00,
Ireland.JPG,1,55,30,8.00,11,0.00,1.10,0.00,141,320,0,0.00,
Ireland.JPG,1,55,30,8.50,11,0.00,1.25,0.00,138,340,0,0.00,
Ireland.JPG,1,55,30,9.00,11,0.00,0.00,0.00,135,360,0,0.00,
Ireland.JPG,1,55,30,9.50,11,0.00,0.00,0.00,133,380,0,0.00,
Italy.JPG,1,55,30,0.00,11,10.77,34.58,3.87,0,0,0,1.00,
Italy.JPG,1,55,30,0.50,11,9.47,26.84,3.40,20,20,20,1.00,
Italy.JPG,1,55,30,1.00,11,8.20,22.80,2.59,40,40,40,1.00,
Italy.JPG,1,55,30,1.50,11,6.97,26.92,1.86,60,60,30,1.00,
Italy.JPG,1,55,30,2.00,11,5.67,20.51,0.95,80,80,40,1.00,
Italy.JPG,1,55,30,2.50,11,4.52,16.24,0.25,98,100,50,1.00,
Italy.JPG,1,55,30,3.00,11,3.36,12.71,0.00,114,120,0,1.00,
Italy.JPG,1,55,30,3.50,11,2.49,15.47,0.00,127,140,0,0.99,
Italy.JPG,1,55,30,4.00,11,1.58,16.04,0.00,136,160,0,0.90,
Italy.JPG,1,55,30,4.50,11,0.90,9.76,0.00,143,180,0,0.68,
Italy.JPG,1,55,30,5.00,11,0.42,7.41,0.00,145,200,0,0.40,
Italy.JPG,1,55,30,5.50,11,0.15,7.40,0.00,143,220,0,0.17,
Italy.JPG,1,55,30,6.00,11,0.05,4.71,0.00,139,240,0,0.06,
Italy.JPG,1,55,30,6.50,11,0.02,5.98,0.00,135,260,0,0.02,
Italy.JPG,1,55,30,7.00,11,0.00,2.77,0.00,132,280,0,0.00,
Italy.JPG,1,55,30,7.50,11,0.00,2.13,0.00,129,300,0,0.00,
Italy.JPG,1,55,30,8.00,11,0.00,0.00,0.00,127,320,0,0.00,
Italy.JPG,1,55,30,8.50,11,0.00,0.00,0.00,125,340,0,0.00,
Italy.JPG,1,55,30,9.00,11,0.00,0.00,0.00,123,360,0,0.00,
Italy.JPG,1,55,30,9.50,11,0.00,0.00,0.00,122,380,0,0.00,
Japan.JPG,1,55,30,0.00,11,13.87,48.06,4.54,0,0,0,1.00,
Japan.JPG,1,55,30,0.50,11,12.24,43.91,4.24,20,20,20,1.00,
Japan.JPG,1,55,30,1.00,11,10.86,38.69,3.62,40,40,40,1.00,
Japan.JPG,1,55,30,1.50,11,9.29,31.20,2.36,60,60,30,1.00,
Japan.JPG,1,55,30,2.00,11,7.86,35.33,1.06,80,80,40,1.00,
Japan.JPG,1,55,30,2.50,11,6.36,41.09,0.11,99,100,50,1.00,
Japan.JPG,1,55,30,3.00,11,4.92,21.64,0.12,118,120,60,1.00,
Japan.JPG,1,55,30,3.50,11,3.58,24.11,0.00,135,140,0,0.99,
Japan.JPG,1,55,30,4.00,11,2.39,21.33,0.00,148,160,0,0.94,
Japan.JPG,1,55,30,4.50,11,1.40,23.38,0.00,157,180,0,0.77,
Japan.JPG,1,55,30,5.00,11,0.65,13.19,0.00,160,200,0,0.49,
Japan.JPG,1,55,30,5.50,11,0.31,22.13,0.00,158,220,0,0.25,
